subjectID,Min,Max,Crossover,Slope,exitflag,R,LS,AR,N,status,age,Exclude,goacc,nogoacc,gntestacc,gntotalacc,sscongruent,ssincongruent,sstotal,WJOC,WJSR,CMu,CH,CS1,CS2,CB1,CB2,Cexitflag,CR,CLS,CAR,CN,Cstatus,UMu,UH,US1,US2,UB1,UB2,Uexitflag,UR,ULS,UAR,UN,Ustatus,MinTime,MaxTime,extentCmU3,CompMax,CompMax-UnrelatedMax,CompMax-UnrelatedAtTimeOfCohortMax,CohortMaxDivUnrelatedAtTimeOfCohortMax,MaxDiffBetweenCohort&Unrelated,TimeOfMaxRhyme,TimeOfMaxDiff,CohortExtent03,eyemove
2348,2.15E-08,0.975457706,465.128227,0.004012112,2010,0.996930494,0.000948767,0.986733604,501,1,12.7,,1,0.9,0.98,0.969230769,691.8888,751.669,721.7789,77.86314,82.3752,471.3265516,0.201253713,60.36254421,81.78927748,5.26E-09,0.002474772,2020,0.992513212,3.31E-05,0.851849178,501,1,463.7858797,0.011429929,64.22140158,121.0792677,1.56E-06,8.79E-07,2030,0.982268915,3.35E-07,0.866159181,501,1,384,540,156,0.201254,0.189824,0.18985,17.6479,0.189843,471.326,472,0,1196.94737
2349,7.89E-07,0.949695014,465.5563322,0.004719183,2020,0.99769437,0.000663837,0.984653432,501,1,12.7,,1,0.95,0.99,0.992307692,943.7124,1081.8982,1012.8053,107.866,100.376,483.4376204,0.286710892,60.73146809,63.84127403,2.38E-07,0.008064706,2030,0.995093296,3.83E-05,0.885112154,501,1,456.2640161,0.021322207,47.78410029,56.28770284,0.001916201,0.00195972,2030,0.953307983,1.57E-06,0.845655986,501,1,400,540,140,0.286711,0.267841,0.271558,18.9214,0.271617,483.437,488,100,1141.90104
2350,,,,,,,,,,,12.5,x,1,0.9,0.98,0.984615385,595.2436,721.1212,658.1824,111.0827,84.4535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1115.03646
2351,1.53E-08,0.865981338,452.2851701,0.002082863,2020,0.99603785,0.000888398,0.989766066,501,1,13,,0.9875,0.25,0.84,0.876923077,602.7708,607.977,605.3739,124.6728,73.73971,385.457358,0.229365524,64.03800499,122.5406041,7.78E-09,0.007546331,2010,0.990290148,6.78E-05,0.944576506,501,1,405.8288505,0.013380285,160.796718,265.5154792,6.57E-05,0.000345003,2041,0.934379566,2.92E-06,0.91044954,501,1,296,500,204,0.229366,0.216963,0.216978,18.5162,0.216931,385.457,388,72,1244.38298
2352,6.35E-08,0.989416331,488.5073144,0.003155484,2010,0.997488595,0.000797077,0.985985262,501,1,12,,0.9875,0.95,0.98,0.984615385,743.44,661.452,702.446,87.90368,83.10413,455.6636521,0.281365019,59.42801108,127.1801707,2.42E-07,3.41E-07,2020,0.995398809,5.12E-05,0.887278644,501,1,440.7122835,0.090447062,53.55223293,71.88145106,0.000339015,1.93E-07,2020,0.98061802,3.89E-05,0.932561794,501,3,388,596,208,0.281366,0.19119,0.192377,3.16179,0.200005,455.665,504,4,921.890625
2354,2.64E-08,0.915991048,321.9201263,0.004514756,2020,0.992167372,0.001565933,0.991454842,501,1,16.3,,1,0.75,0.95,0.953846154,716.4326,561.466,638.9493,89,84,307.7456875,0.229388755,39.90453392,116.293463,4.45E-05,0.000393244,2010,0.993861624,3.87E-05,0.876616806,501,1,294.4729225,0.048232636,38.59023353,74.8653947,0.001225121,0.002630511,2010,0.984117159,8.23E-06,0.928285026,501,3,256,404,148,0.222938,0.176756,0.177556,4.91249,0.178092,308.181,320,0,1129.64063
2355,6.41E-08,0.936450715,405.6148133,0.005058365,2010,0.992942653,0.002426999,0.998969465,501,3,18,,1,1,1,1,583.6532,598.3072,590.9802,124,118,422.7852343,0.218830704,52.00133037,84.57067284,5.98E-08,0.015829281,2040,0.988934703,5.13E-05,0.924129985,501,1,364.5835225,0.011216267,20.38763467,151.732521,3.87E-06,2.32E-06,2010,0.969226534,1.23E-06,0.99892668,501,3,348,508,160,0.218831,0.208497,0.215311,62.1763,0.21529,422.785,424,52,994.463542
2356,1.40E-08,0.929999908,567.8352318,0.002825199,2010,0.997952901,0.000635033,0.998684086,501,3,16.4,,1,0.95,0.99,0.992307692,761.9556,862.8596,812.4076,97.35439,92.56225,543.8710078,0.106796208,76.4176198,125.5476049,0.002739281,0.008050611,2030,0.984695817,2.30E-05,0.883171071,501,1,524.7401522,0.022977853,75.88924896,90.6775461,2.03E-06,0.003670225,2031,0.943004396,3.39E-06,0.920686948,501,1,444,688,244,0.106684,0.0837061,0.0841366,4.7315,0.0844152,544.663,556,0,1351.60733
2380,2.80E-08,0.874296223,378.0119043,0.013377859,2010,0.997101456,0.001020778,0.998987774,501,3,17.4,,1,0.85,0.97,0.976923077,565.61,588.5482,577.0791,116.2048,76.6784,443.0834299,0.085346096,57.29458342,85.99059428,1.96E-08,0.016248946,2021,0.944057683,3.93E-05,0.962223591,501,1,1121.002119,0.002620411,16.062582,814.8777952,3.50E-06,0.002536776,2030,0.997516993,8.37E-09,0.338410424,501,1,352,548,196,0.0853458,0.0827234,0.085341,17821.2,0.0853371,443.082,444,0,1025.80729
2382,1.08E-07,0.978280327,438.7116261,0.004211487,2010,0.997398311,0.000792359,0.984390141,501,1,16.8,,1,0.95,0.99,0.992307692,509.6432,560.4694,535.0563,104.5822,96.9716,435.7409911,0.166641977,49.46441225,103.2158243,3.85E-09,0.003680976,2020,0.993161858,2.17E-05,0.893043606,501,1,410.6585688,0.014287391,42.18814524,159.3536164,3.34E-06,5.48E-05,2041,0.937159173,2.07E-06,0.875384459,501,1,364,532,168,0.166642,0.152354,0.152533,11.8107,0.152532,435.741,436,0,1003.46597
2383,1.19E-08,0.940088977,309.0847422,0.004216063,2020,0.99461298,0.001846226,0.999759301,501,3,18,,1,1,1,1,597.9024,672.4502,635.1763,121.0761,117.6248,307.5990005,0.204282055,51.34943721,93.65603517,1.12E-08,0.005199456,2040,0.992846119,3.23E-05,0.895015814,501,1,294.7531229,0.021766273,42.17921879,67.17169372,3.83E-06,2.47E-06,2041,0.985259717,6.30E-07,0.633104561,501,1,232,400,168,0.189469,0.167702,0.167908,8.78757,0.167896,302.887,304,0,1113.18229
2384,9.93E-09,0.769644707,433.298287,0.003810889,2010,0.996423212,0.000669954,0.989781002,501,1,16.8,,1,0.95,0.99,0.976923077,473.0716,500.1974,486.6345,119.2233,116.2048,437.5179023,0.04574035,45.84557051,122.8766416,5.67E-07,2.41E-07,2010,0.980488935,5.44E-06,0.891817219,501,1,NaN,0,NaN,NaN,0,0,-99,NaN,NaN,0,501,1,368,560,192,0.0457398,0.0457398,0,0,0,437.519,0,0,1007.44792
2387,2.62E-08,0.938500597,465.2106857,0.003872584,2020,0.99551963,0.001236264,0.986880577,501,1,16.3,,1,0.95,0.99,0.992307692,563.2886,670.6358,616.9622,98.49349,92.56225,441.0091415,0.199575311,40.75261526,93.97219697,8.16E-08,0.003777847,2020,0.99082778,3.79E-05,0.941137287,501,1,455.6716815,0.035364973,67.39985011,79.76574142,0.001893886,0.006839842,2021,0.943963402,6.21E-06,0.900036336,501,1,376,532,156,0.199575,0.165604,0.170633,6.89571,0.170572,441.009,440,0,1006.29167
2388,1.37E-07,0.85523224,437.1255626,0.00435881,2010,0.999002612,0.000235575,0.96700585,501,1,16.9,,1,0.8,0.96,0.961538462,556.488,549.4548,552.9714,104.5822,102.6456,433.9111046,0.153291898,49.66201201,97.75120408,5.00E-07,0.005549822,2021,0.995463689,1.15E-05,0.732962753,501,1,416.8112319,0.043451296,57.65894511,56.22383336,4.20E-06,1.44E-05,2031,0.98924462,1.89E-06,0.706184371,501,1,376,544,168,0.153293,0.109843,0.112303,3.7397,0.115899,433.904,464,0,886.692708
2389,2.49E-08,0.920414408,425.4614518,0.005047299,2020,0.995754546,0.001110016,0.987594993,501,1,17.4,,1,0.95,0.99,0.992307692,484.3028,570.6978,527.5003,90.80781,98.11508,434.5764708,0.167492096,38.20149192,81.79161722,5.51E-09,0.000611904,2021,0.994192343,1.55E-05,0.844344632,501,1,428.2866673,0.011391485,47.8396721,71.02240012,2.69E-06,0.00200155,2021,0.901129425,1.15E-06,0.956662799,501,1,376,508,132,0.167492,0.156101,0.156156,14.7757,0.156131,434.576,436,0,1139.77604
2390,9.13E-08,0.965318673,398.2537141,0.005499163,2010,0.99757171,0.000677056,0.985801399,501,1,16.4,,1,0.95,0.99,0.992307692,586.6376,651.3888,619.0132,99.2477,117.6248,424.0657309,0.221662968,42.54239727,73.36575799,0.000272232,0.004954208,2010,0.997055176,1.29E-05,0.698411704,501,1,407.213426,0.011509724,52.07482517,83.84908322,7.20E-06,4.29E-06,2030,0.979593425,3.01E-07,0.857561204,501,1,360,492,132,0.221663,0.210155,0.210383,19.6515,0.210383,424.066,424,40,974
2392,1.82E-08,0.912932409,338.327096,0.003987813,2010,0.994618131,0.001131646,0.991543822,501,1,17.6,,1,1,1,0.992307692,529.2476,646.632,587.9398,110.1173,103.8002,349.1155111,0.193277803,54.63887525,143.2648014,9.71E-09,0.000528629,2030,0.99461612,2.93E-05,0.870863765,501,1,359.8147151,0.019342003,86.02332608,57.27567739,1.32E-05,0.002088513,2041,0.947878508,1.89E-06,0.873145777,501,1,276,488,212,0.193278,0.181906,0.183446,19.6576,0.183407,349.116,352,0,1056.77604
2393,9.46E-08,0.949990639,455.111275,0.00309084,2020,0.997873782,0.000569505,0.985244794,501,1,17.4,,1,0.85,0.97,0.976923077,566.6556,635.0182,600.8369,82.3752,97.35439,452.8989867,0.22593644,72.16773351,98.96835067,0.000966326,0.00962695,2010,0.996603383,2.07E-05,0.847052838,501,1,389.5459212,0.03086142,32.08418649,95.91542367,0.000219996,0.00514237,2021,0.983545488,1.30E-06,0.716380928,501,1,360,552,192,0.221218,0.190357,0.19527,8.52531,0.195453,449.856,456,0,1019.35417
2394,3.51E-08,0.960067876,473.4175889,0.0039746,2020,0.998800722,0.000369351,0.978465625,501,1,16.7,,1,1,1,1,723.5074,825.0816,774.2945,103.0284,111.0827,495.8631131,0.133668549,73.71105089,73.69484009,1.17E-08,0.006375439,2030,0.991385892,1.64E-05,0.811581856,501,1,441.7422032,0.011227438,45.28051206,126.4097233,1.26E-06,0.001171773,2040,0.908414501,1.49E-06,0.961635675,501,1,392,556,164,0.133669,0.122441,0.123327,12.9249,0.123326,495.863,496,0,1189.79167
2395,1.12E-09,0.855004724,370.5620485,0.00362495,2010,0.99565553,0.000864088,0.985128231,501,1,16.9,,0.9875,0.95,0.98,0.984615385,498.851,520.7266,509.7888,126.2603,109.6502,360.8617215,0.207158424,43.87854721,102.3736682,6.65E-08,0.000171368,2020,0.993751147,3.05E-05,0.886251181,501,1,349.9488471,0.033353023,49.71245835,75.194814,4.66E-06,1.84E-05,2041,0.988134266,1.32E-06,0.709691354,501,1,296,464,168,0.207158,0.173805,0.174102,6.26678,0.174285,360.862,364,0,912.786458
